Ticket name,College,City
Big Data,RVR &JC COLLEGE OF ENGINEERING,Guntur
Big Data,RVR &JC COLLEGE OF ENGINEERING,Guntur
Big Data,RVR &JC COLLEGE OF ENGINEERING,Guntur
Touch and Augmented Reality,"RVR&JC COLLEGE OF ENGINEERING , GUNTUR",Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Touch and Augmented Reality,"RVR&JC COLLEGE OF ENGINEERING , GUNTUR",Guntur
Big Data,PESIT Bangalore South Campus . Bangalore,Bangalore
Big Data,RVR&JCCE/Guntur,Guntur
Big Data,RVR JC college of engineering / Guntur,Guntur
Big Data,RVR JC college of engineering/ Guntur,Guntur
Big Data,R.V.R&J.C C.E,Guntur
Internet of Things,guntur,Guntur
Internet of Things,GUNTUR,Guntur
General Registration,guntur,Guntur
General Registration,guntur,Guntur
Internet of Things,Rvr&jc college of engineering,Guntur
Internet of Things,Rvr&jc college of engineering,Guntur
Internet of Things,Rvr&jc college of engineering,Guntur
Internet of Things,RVR & JC COLLEGE OF ENGINEERING,Guntur
Internet of Things,RVR & JC COLLEGE OF ENGINEERING,Guntur
Internet of Things,guntur,Guntur
Internet of Things,GUNTUR,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Big Data,Bangalore,Bangalore
Automobile and IC Engine Design,Shridevi Institute Of Engineering & Technology- Tumkur,Bangalore
Automobile and IC Engine Design,Shridevi Institute Of Engineering & Technology- Tumkur,Bangalore
Internet of Things,"RVR & JC college of engineering,guntur",Guntur
General Registration,The Camford International School / Coimbatore,Coimbatore
Android Controlled Robotics,The Camford International School / Coimbatore,Coimbatore
Internet of Things,guntur,Guntur
Big Data,RVR & JC College of Engineering/Guntur,Guntur
Big Data,"rvr&jc college of engineering,guntur",Guntur
Internet of Things,"RVR&JC COLLEGE OF ENGINEERING,GUNTUR",Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,rvr jc college of engineering guntur,Guntur
Automobile and IC Engine Design,Mysore,Mysore
Internet of Things,"Rvr&jc college of engineering,guntur",Guntur
Internet of Things,"Rvr&jc college of engineering,guntur",Guntur
Internet of Things,"Rvr&jc college of engineering,guntur",Guntur
